,MGTNO,APVPERMYMD,TRDSTATENM,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,BPLCNM,UPTAENM,X,Y,TRDPJUBNSENM,WTRSPLYFACILSENM,dong,exemplary_diner
0,3220000-101-1007-00001,19970205,영업/정상,,135954,서울특별시 강남구 청담동 88-5번지 ,서울특별시 강남구 도산대로55길 20 (청담동),배초향,한식,203520.881091068    ,446950.285626122    ,,,청담동,
1,3220000-101-1899-20451,19991005,영업/정상,950.66,135090,서울특별시 강남구 삼성동 159 ,"서울특별시 강남구 봉은사로 524, 1층 (삼성동, 인터컨티넨탈 서울 코엑스)",브래서리,경양식,205130.591678902    ,445590.096837802    ,기타,상수도전용,삼성동,모범식당지정
2,3220000-101-1899-20453,19991005,영업/정상,473.24,135090,서울특별시 강남구 삼성동 159 ,"서울특별시 강남구 봉은사로 524, 1층 (삼성동, 인터컨티넨탈 서울 코엑스)",로비라운지,경양식,205130.591678902    ,445590.096837802    ,기타,상수도전용,삼성동,
3,3220000-101-1899-20463,19991006,영업/정상,282.59,135090,서울특별시 강남구 삼성동 159 ,"서울특별시 강남구 봉은사로 524, 지상1층 (삼성동, 코엑스인터컨티넨탈서울)",로비바,경양식,205130.591678902    ,445590.096837802    ,기타,상수도전용,삼성동,
4,3220000-101-1899-20500,19991012,영업/정상,"1,157.90",135873,서울특별시 강남구 삼성동 109-6 ,서울특별시 강남구 봉은사로 637 (삼성동),노블발렌티,한식,205662.873885873    ,445913.719788498    ,결혼예식장주변,상수도전용,삼성동,
5,3220000-101-1911-16480,19110528,영업/정상,90.75,135957,서울특별시 강남구 청담동 126-6번지 ,서울특별시 강남구 압구정로79길 47 (청담동),골목식당,한식,204438.362727813    ,447036.905426773    ,주택가주변,상수도전용,청담동,
6,3220000-101-1976-17313,19760724,영업/정상,39.26,135822,서울특별시 강남구 논현동 141-17번지 ,서울특별시 강남구 학동로4길 8 (논현동),용삼계탕,한식,201950.963698517    ,445408.624669046    ,주택가주변,상수도전용,논현동,
7,3220000-101-1976-17996,19761223,영업/정상,50.24,135887,서울특별시 강남구 신사동 502-11번지 ,서울특별시 강남구 강남대로 620 (신사동),원해분식,한식,201684.704785227    ,446105.858997581    ,주택가주변,상수도전용,신사동,
8,3220000-101-1978-12840,19781006,영업/정상,39.54,135842,서울특별시 강남구 대치동 974-1번지 ,서울특별시 강남구 삼성로 324 (대치동),취화선,중국식,205247.28025291     ,444294.591159178    ,아파트지역,상수도전용,대치동,
9,3220000-101-1978-16489,19781017,영업/정상,49.24,135915,서울특별시 강남구 역삼동 678-11번지 ,서울특별시 강남구 테헤란로27길 12 (역삼동),삼성식당,한식,203297.491333425    ,444452.295925353    ,유흥업소밀집지역,상수도전용,역삼동,
10,3220000-101-1978-17321,19780610,영업/정상,67.75,135903,서울특별시 강남구 압구정동 454번지 ,"서울특별시 강남구 압구정로29길 72-1, 지상1층 B2호 (압구정동)",향촌면옥,한식,202440.338882233    ,447782.51322707     ,아파트지역,상수도전용,압구정동,모범식당지정
11,3220000-101-1978-17610,19781215,영업/정상,34.70,135997,서울특별시 강남구 대치동 912-23 우진빌딩 ,"서울특별시 강남구 삼성로 349, 우진빌딩 지상1층 1호 (대치동)",미스터피자 대치점,한식,205101.289679757    ,444497.311504189    ,주택가주변,상수도전용,대치동,
12,3220000-101-1978-18002,19780828,영업/정상,70.46,135887,서울특별시 강남구 신사동 513-4번지 ,서울특별시 강남구 도산대로 113 (신사동),우신설농탕,한식,201773.37           ,446087.16           ,아파트지역,상수도전용,신사동,
13,3220000-101-1979-12835,19790818,영업/정상,187.15,135838,서울특별시 강남구 대치동 626-205번지 ,,송원,중국식,,,주택가주변,상수도전용,대치동,
14,3220000-101-1979-12868,19790904,영업/정상,130.25,135881,서울특별시 강남구 삼성동 166-8번지 ,서울특별시 강남구 영동대로96길 37 (삼성동),베이징,한식,205724.877921859    ,445498.758353056    ,주택가주변,상수도전용,삼성동,
15,3220000-101-1980-04513,19801223,영업/정상,20.00,135835,서울특별시 강남구 대치동 280-4번지 ,,삼해정,전통찻집,,,주택가주변,상수도전용,대치동,
