index,CGG_CODE,ASGN_YY,ASGN_SNO,APPL_YMD,ASGN_YMD,UPSO_NM,SITE_ADDR_RD,SITE_ADDR,PERM_NT_NO,SNT_UPTAE_NM,MAIN_EDF,TRDP_AREA,ADMDNG_NM,GRADE_FACIL_GBN,UPSO_SITE_TELNO,UPSO_NM_MOD,UPSO_NM_LONG,SITE_ADDR_RD_SPLIT,name,url
120,3220000,2015,6,20151106,20151106,이남장영동점,"서울특별시 강남구 봉은사로108길 21, (삼성동)",서울특별시 강남구 삼성동  165번지 12호  ,3220000-101-1993-15651,한식,설렁탕,99.93,삼성1동,상수도전용,0205698726,이남장영동,이남장영동 삼성1동,서울 강남구 봉은사로108길 21,,https://place.map.kakao.com/16649489
125,3220000,2016,151,20161125,20161125,(주)정성담에프앤비,"서울특별시 강남구 언주로173길 8, 1층 (신사동)",서울특별시 강남구 신사동  617번지 9호  ,3220000-101-2003-00336,한식,한정식,179.58,신사동,상수도전용,54580765,정성담에프앤비,정성담에프앤비 신사동,서울 강남구 언주로173길 8,,https://place.map.kakao.com/22988001
135,3220000,2016,126,20161125,20161125,고궁수라간 코엑스점,"서울특별시 강남구 테헤란로87길 22, 지하1층 Q104호 (삼성동)",서울특별시 강남구 삼성동  159번지 6호  ,3220000-101-2014-00847,한식,전주전통비빔밥,65.62,삼성1동,,,고궁수라간 코엑스,고궁수라간 코엑스 삼성1동,서울 강남구 테헤란로87길 22,,
137,3220000,2016,125,20161125,20161125,쭈불앤쭈불,"서울특별시 강남구 테헤란로87길 22, 지하1층 Q121호 (삼성동, 한국도심공항터미널)",서울특별시 강남구 삼성동  159번지 6호  한국도심공항터미널 지하1층-Q121,3220000-101-2014-00940,한식,쭈꾸미소불고기,71.23,삼성1동,,,쭈불앤쭈불,쭈불앤쭈불 삼성1동,서울 강남구 테헤란로87길 22,,https://place.map.kakao.com/1288228516
141,3220000,2010,61,20100730,20100915,노란상 소갈비 강남직영점,"서울특별시 강남구 테헤란로8길 11-7, (역삼동)",서울특별시 강남구 역삼동  823번지 6호  ,3220000-101-1991-17748,일식,삼겹살 구이,149.4,역삼1동,상수도전용,02 5652145,노란상 소갈비 강남직영,노란상 소갈비 강남직영 역삼1동,서울 강남구 테헤란로8길 11-7,,https://place.map.kakao.com/1525298028
151,3220000,2010,18,20100210,20100210,더팀버하우스,"서울특별시 강남구 테헤란로 606, (대치동,지하2층)",서울특별시 강남구 대치동  995번지 14호  지하2층,3220000-101-2005-00245,경양식,스시,369.61,대치2동,상수도전용,02 5015487,더팀버하우스,더팀버하우스 대치2동,서울 강남구 테헤란로 606,,https://place.map.kakao.com/7827799
159,3220000,2023,316,20231010,20231123,베이징코야강남점,"서울특별시 강남구 논현로86길 20, (역삼동,지상1층)",서울특별시 강남구 역삼동  725번지 9호  지상1층,3220000-101-2010-00965,중국식,북경오리,484.64,역삼1동,상수도전용,,베이징코야강남,베이징코야강남 역삼1동,서울 강남구 논현로86길 20,,
166,3220000,2023,320,20231010,20231123,셀럽 앤 어？,"서울특별시 강남구 언주로 711, (논현동,지하1층)",서울특별시 강남구 논현동  71번지 2호  지하1층,3220000-101-2007-01038,뷔페식,뷔페,1145.52,논현2동,상수도전용,02  545 2222,셀럽 앤 어？,셀럽 앤 어？ 논현2동,서울 강남구 언주로 711,,https://place.map.kakao.com/1841482687
183,3220000,2021,296,20201001,20211116,텐파 마라탕 마라샹꿔,"서울특별시 강남구 압구정로79길 49, 지상1층 (청담동)",서울특별시 강남구 청담동  126번지 7호  ,3220000-101-2018-00088,한식,마라탕,56.43,청담동,,02  515 1100,텐파 마라탕 마라샹꿔,텐파 마라탕 마라샹꿔 청담동,서울 강남구 압구정로79길 49,,https://place.map.kakao.com/170704200
185,3220000,2021,298,20201001,20211116,주식회사 양인환대(본점),"서울특별시 강남구 강남대로42길 17, (도곡동,지상1,2층)","서울특별시 강남구 도곡동  954번지 16호  지상1,2층",3220000-101-2001-24222,한식,양갈비,245.29,도곡1동,상수도전용,0220572412,주식회사 양인환대(본,주식회사 양인환대(본 도곡1동,서울 강남구 강남대로42길 17,,https://place.map.kakao.com/292351555
190,3220000,2021,305,20201001,20211116,막둥이냉면,"서울특별시 강남구 삼성로 307, (대치동,지상1층)",서울특별시 강남구 대치동  941번지 16호  지상1층,3220000-101-2002-00675,호프/통닭,냉면,59.04,대치4동,상수도전용,5573188,막둥이냉면,막둥이냉면 대치4동,서울 강남구 삼성로 307,,https://place.map.kakao.com/989175722
193,3220000,2021,315,20201001,20211116,압구정제주집(狎鷗亭濟州緝),"서울특별시 강남구 논현로152길 36, 지상1층 (신사동)",서울특별시 강남구 신사동  588번지 12호  ,3220000-101-2020-00574,한식,"삼겹살, 특수부위",67.01,신사동,,,압구정제주집(狎鷗亭濟州緝),압구정제주집(狎鷗亭濟州緝) 신사동,서울 강남구 논현로152길 36,,https://place.map.kakao.com/2058169302
203,3220000,2014,156,20141006,20141006,(주)평가옥 푸드시스템 역삼점,"서울특별시 강남구 논현로 519, 지하1, 지상1층 (역삼동)","서울특별시 강남구 역삼동  641번지 8호  지하1, 지상1",3220000-101-2013-00982,한식,냉면,193.64,역삼1동,,,평가옥 푸드시스템 역삼,평가옥 푸드시스템 역삼,서울 강남구 논현로 519,,https://place.map.kakao.com/22424660
