CGG_CODE,ASGN_YY,ASGN_SNO,APPL_YMD,ASGN_YMD,UPSO_NM,SITE_ADDR_RD,SITE_ADDR,PERM_NT_NO,SNT_UPTAE_NM,MAIN_EDF,TRDP_AREA,ADMDNG_NM,GRADE_FACIL_GBN,UPSO_SITE_TELNO,UPSO_NM_MOD,UPSO_NM_LONG,SITE_ADDR_RD_SPLIT,name,url
3220000,2014,160,20141006,20141006,이도곰탕,"서울특별시 강남구 논현로94길 29-5, 지상1층,지상2층 (역삼동)",서울특별시 강남구 역삼동  671번지 17호  ,3220000-101-2001-24197,한식,곰탕,194.41,역삼1동,상수도전용,02 5010738,이도곰탕,이도곰탕 역삼1동,서울 강남구 논현로94길 29-5,이도곰탕 역삼1동,https://place.map.kakao.com/14569639
3220000,2021,139,20181001,20211116,솥내음 스타필드 코엑스몰점,"서울특별시 강남구 영동대로 513, 코엑스 지하1층 O-107호 (삼성동)",서울특별시 강남구 삼성동  159번지  코엑스,3220000-101-2020-00643,한식,직화불백,74.56,삼성1동,,,솥내음 스타필드 코엑스몰,솥내음 스타필드 코엑스몰 삼성1동,서울 강남구 영동대로 513,솥내음 스타필드 코엑스몰 삼성1동,https://place.map.kakao.com/710342577
3220000,2010,24,20100210,20100210,스시히로바,"서울특별시 강남구 삼성로 620, 블래스톤리조트 지상1층 (삼성동)",서울특별시 강남구 삼성동  70번지  블래스톤리조트,3220000-101-2002-00383,일식,초밥,216.56,삼성1동,상수도전용,02 5155511,스시히로바,스시히로바 삼성1동,서울 강남구 삼성로 620,스시히로바 삼성1동,https://place.map.kakao.com/7974994
3220000,2016,89,20161125,20161125,서백자 간장게장,"서울특별시 강남구 삼성로 542, 지상2층 (삼성동, 석천빌딩)",서울특별시 강남구 삼성동  151번지 4호  석천빌딩 2층,3220000-101-2012-00416,중국식,간장게장,260.3,삼성1동,,02  34536008,서백자 간장게장,서백자 간장게장 삼성1동,서울 강남구 삼성로 542,서백자 간장게장 삼성1동,https://place.map.kakao.com/24663994
3220000,2016,84,20161125,20161125,주)봉산집,"서울특별시 강남구 삼성로 564, 지상2층,지상3층 (삼성동)",서울특별시 강남구 삼성동  145번지 19호  ,3220000-101-2011-01048,한식,차돌박이,452.95,삼성1동,,,봉산집,봉산집 삼성1동,서울 강남구 삼성로 564,봉산집 삼성1동,https://place.map.kakao.com/15105092
3220000,2016,76,20161125,20161125,더드림,"서울특별시 강남구 선릉로 518, 지하1층 (삼성동)",서울특별시 강남구 삼성동  140번지 25호  ,3220000-101-2012-00882,한식,김치찌개,110.3,삼성1동,,02  536 8153,더드림,더드림 삼성1동,서울 강남구 선릉로 518,더드림 삼성1동,https://place.map.kakao.com/27335171
3220000,2019,368,20191128,20190930,국민한우집 삼성역점(구 칠프로칠백식당 포스코점),"서울특별시 강남구 테헤란로82길 11, (대치동)",서울특별시 강남구 대치동  942번지 13호  ,3220000-101-1998-08200,경양식,칠백한우동,123.19,대치2동,상수도전용,02555 5245,국민한우집 삼성역,국민한우집 삼성역 대치2동,서울 강남구 테헤란로82길 11,국민한우집 삼성역 대치2동,https://place.map.kakao.com/1259415579
3220000,2010,25,20100210,20100210,이즈미,"서울특별시 강남구 언주로 857, 지상1층 (신사동)",서울특별시 강남구 신사동  621번지 3호  ,3220000-101-2000-21072,한식,회,329.22,신사동,상수도전용,02 5110107,이즈미,이즈미 신사동,서울 강남구 언주로 857,이즈미 신사동,https://place.map.kakao.com/21414358
3220000,2010,25,20100210,20100210,이즈미,"서울특별시 강남구 언주로 857, 지상1층 (신사동)",서울특별시 강남구 신사동  621번지 3호  ,3220000-101-2000-21072,한식,회,329.22,신사동,상수도전용,02 5110107,이즈미,이즈미 신사동,서울 강남구 언주로 857,이즈미 신사동,https://place.map.kakao.com/21414358
3220000,2014,18,20141006,20141006,홍영재 장수 청국장,"서울특별시 강남구 영동대로 424, 지상1층 (대치동)",서울특별시 강남구 대치동  1001번지  지상1층,3220000-101-2013-00292,한식,청국장,398.68,대치2동,,,홍영재 장수 청국장,홍영재 장수 청국장 대치2동,서울 강남구 영동대로 424,홍영재 장수 청국장 대치2동,https://place.map.kakao.com/19838635
3220000,2010,14,20100210,20100210,등대,"서울특별시 강남구 영동대로 342, (대치동,지상1층)",서울특별시 강남구 대치동  1006번지 0호  지상1층,3220000-101-2003-00016,한식,복요리,148.76,대치2동,상수도전용,5620505,등대,등대 대치2동,서울 강남구 영동대로 342,등대 대치2동,https://place.map.kakao.com/8958910
3220000,2010,61,20100730,20100915,(주)아구본가첨벙대치,"서울특별시 강남구 도곡로 426, (대치동,지상2층)",서울특별시 강남구 대치동  1023번지 3호  지상2층,3220000-101-2009-00650,한식,아구찜,309.8,대치1동,상수도전용,02  538 0104,아구본가첨벙대치,아구본가첨벙대치,서울 강남구 도곡로 426,아구본가첨벙대치,https://place.map.kakao.com/16534533
3220000,2017,456,20171010,20171124,김태준의 탕탕집,"서울특별시 강남구 학동로4길 12, 1,2층 (논현동)",서울특별시 강남구 논현동  141번지 15호  ,3220000-101-2016-00310,한식,설렁탕,162.38,논현1동,,025113235,김태준의 탕탕집,김태준의 탕탕집 논현1동,서울 강남구 학동로4길 12,김태준의 탕탕집 논현1동,https://place.map.kakao.com/170461079
3220000,2010,12,20100210,20100210,불이아,"서울특별시 강남구 언주로 711, (논현동,건설회관지하1층)",서울특별시 강남구 논현동  71번지 2호  건설회관지하1층,3220000-101-2005-00439,중국식,훠궈,393.36,논현2동,상수도전용,02  517 6689,불이아,불이아 논현2동,서울 강남구 언주로 711,불이아 논현2동,https://place.map.kakao.com/10452008
3220000,2016,101,20161125,20161125,경성면옥,"서울특별시 강남구 테헤란로87길 36, 지하1층 B10호 (삼성동, 도심공항타워)",서울특별시 강남구 삼성동  159번지  ,3220000-101-2002-00779,한식,"회, 물냉면",148.23,삼성1동,상수도전용,02  539 9966,경성면옥,경성면옥 삼성1동,서울 강남구 테헤란로87길 36,,
3220000,2016,102,20161125,20161124,밀밭,,서울특별시 강남구 삼성동  159번지 9호  지하1층 B7호,3220000-101-2003-00536,분식,손수제비,74.07,삼성1동,상수도전용,,밀밭,밀밭 삼성1동,,밀밭 삼성1동,https://place.map.kakao.com/26896916
3220000,2016,103,20161125,20161125,안동찜닭 해물떡찜,"서울특별시 강남구 영동대로 513, 지하1층 M109호 (삼성동, B1 코엑스몰)",서울특별시 강남구 삼성동  159번지  지하1층,3220000-101-2000-21742,한식,안동찜닭,66.36,삼성1동,상수도전용,0260026447,안동찜닭 해물떡찜,안동찜닭 해물떡찜 삼성1동,서울 강남구 영동대로 513,안동찜닭 해물떡찜 삼성1동,https://place.map.kakao.com/1211150938
