stoe_name,user,rate,avg_rate,review,review_count
이도곰탕,굉장해엄청나,5.0,3.6,,434
이도곰탕,컹,2.0,3.0,너무 짜요. 처음엔 먹을만했는데. 절반정도 먹고나선 너무 짜서 짜증날 정도임. 맛 자체가 없는건 아님. 짠거 싫어하신분들은 꼭 걸러야함. 집 근처고 곰탕 좋아하는데. 한번 가고는 다시는 안감.,13
이도곰탕,🤠,5.0,4.0,곰탕 정말 빨리나옵니다. 주문하고 5분도 안되서 음식 받은거 같아요. 정말 맛있고 혼밥하기에도 좋습니다.,7
이도곰탕,미각세포,5.0,4.0,수육이랑 곰탕먹었어요곰탕은 주문하자마자 빨리 나왔어요고기도 많이 들어가있고간이 되어있는 국물이 맑지만 깊은 맛이 나요추운날 먹으니 얼어있던 몸이 풀리고계속 생각나는 맛이예요!,99
이도곰탕,.,5.0,3.7,세종대왕의 이름 (이도 李裪)에 걸맞는 진한 맛의 곰탕입니다마침 제옆에 외국인도 와서 한 그릇 하네요,171
이도곰탕,바나나,4.0,3.9,간단하게 먹기 좋은 듯...,46
이도곰탕,제점수는요,5.0,3.6,존맛탱 짱맛있어요!또 올거에요!면도 쌀국수면같아서 맛있어요!주차는 발렛30분3000원,184
이도곰탕,ㅎ,1.0,3.8,싸가지없고 양심없는 주차 발렛 때문에 기분 개잡치고 갑니다 갈거면 걸어서가세요,64
이도곰탕,맛있으면댓글,5.0,4.5,진짜 개맛도리. 늦은 시각에도 사람 많았음. 김치가 특히 맛있음. 다시 생각해도 입 안에 침 고임,8
이도곰탕,LJ,4.0,4.0,"특곰탕, 수육 강력추천",5
이도곰탕,국밥,5.0,2.1,진짜 너무너무 맛있어요해장 제대로 했습니다면을 좋아해서 면으로 먹었는데 국물 끝내줘요김치도 넘 맛있습니다곰탕,7
이도곰탕,🍼,3.0,2.6,,9
이도곰탕,한승,5.0,4.3,,20
이도곰탕,정남선생,4.0,3.3,가격은 좀 있지만 맛있게 빠르게 먹었어요^^곰탕 먹었어요~,518
이도곰탕,여행갈래ㅐㅐㅐㅐ,5.0,4.0,밥이 담아 나오는게 싫어서 주로 면으로 먹어요 국물이 진짜 맛있는데 13000원 너무 비싸졌어요😿김치는 새콤한 맛이에요 ㅎㅎ 맛있어요,9
이도곰탕,Stella,5.0,4.6,곰탕 맛있어요 GS빌딩 근처 밥집 중 최고음식 빨리나오고 대기 빨리 빠집니다,10
이도곰탕,북풍의등에서,4.0,4.2,"곰탕 간이 좀 쎄다만, 이 정도면 곰탕의 정석 아니냐. 맛있게 먹었습니다.",338
이도곰탕,맛집 탐구 생활,3.0,3.6,역삼동 곰탕집 가정집을 개조한 곳 곰탕의 맛은 좋음 다만 특을 시켰음에도 제대로된 아롱사태 고기는 2점 정도 물가가 너무 오르고 있지만 아쉬움 특 이란것이 밥을 많이 주는 거였음 강남엔 워낙 잘 하는 곰탕집이 많아서 일부러 찾아갈 만한 집은 아님.,258
이도곰탕,리뷰어,5.0,3.8,깔끔 시원한 수육 감칠맛이 소주를 부른다,188
이도곰탕,지혜님,5.0,4.3,추운날 곰탕에 명태회무침이랑소주한병 마시면 기분 좋게 집에 갈 수 있어요ㅋㅋ제 기준에는 소울푸드에요새해돼서 천원씩 올라서 아쉽지만 그래도 맛있음ㅋ,6
이도곰탕,Mr. Ha,5.0,2.3,,6
이도곰탕,팩트체크✔️,1.0,1.6,발렛파킹 양아치들 돈 받아먹는 거 극혐. 곰탕 맛은 쏘쏘하고 가격대비 양이 많은 편은 아님.,50
이도곰탕,필립,5.0,5.0,,4
이도곰탕,구이학개론,3.0,3.1,"곰탕국물 퀄리티도 괜찮고 온도도 적당하며 빨리 나오는 덕에 근처 직장인 점심메뉴로 추천할 만 함. 토렴이 잘 되어 있어 밥의 상태도 좋고, 넉넉하게 주는 김치 맛도 괜찮음.깊고 진한 맛이라기보다는 깔끔하고 밸런스 좋은 국물임. 순수한 고기국물은 아니고, 국간장의 힘을 약간 빌어 밸런스를 잡은 듯 보임. 고기 식감은 아쉬운 편.최종평가: 6/12",12
이도곰탕,엘리사벳,3.0,4.0,,25
이도곰탕,배성진,5.0,5.0,밥은 따로 주면 좋을듯그래야 곰탕의 진한 맛을 앗볼수있겠지요,2
이도곰탕,김선민,5.0,4.4,기다릴때 밖에 서있으면 추운거 빼고 다 괜찮음,10
이도곰탕,HJ,5.0,5.0,,14
이도곰탕,고구마,5.0,4.2,언제 먹어도 맛있는 이도국밥 🤗,41
이도곰탕,빈스,5.0,3.8,간이 짭잘한편 혼자 갔는데도 넘 친절하시고 맛있았어요!!,5
이도곰탕,J,5.0,3.6,맑은 탕이라 깔끔하고 맛이 아주 좋습니다.,33
이도곰탕,맛집탐방러,4.0,3.9,,257
이도곰탕,키키,4.0,3.0,곰탕 간도 딱 맞고 맛있었어요~~🐻❤️다만 김치에 고추가루가 중국산이라 아쉬웠네요…,46
이도곰탕,ㅣ,4.0,2.8,주위의 직장인이면 갈 만한 곳멀리서 찾아올 만한 맛은 아닌 곳,6
이도곰탕,jen,4.0,4.1,입맛은 각자 다르니 감안하면 맛있는 편이에요.저는 국물이 찐하다 보다는 좀 짜다 느낌이 강했네요.직장인의 짧은 점심시간 고려하면 빨리나오고 평타 이상의 맛 추천 할만해요.곰탕,48
이도곰탕,마정훈,5.0,5.0,,1
이도곰탕,나리나리개나리,5.0,4.0,역삼역 근처에서 일하는 직장인이었으면 자주 갔을거 같아요. 속 편해요🩵🩵🩵직원분들도 친절하셨어요,36
이도곰탕,류,4.0,3.8,맛있어요....국물 안먹는 사람인데 바닥까지 싹싹 긁어먹음,4
이도곰탕,elsghqlr,5.0,2.4,시끄럽긴해도 맛있는걸요...면보다 밥 추천,26
이도곰탕,맛집싹슬이,5.0,4.2,한국 패스트푸드 추천한다면 이집~그만크 빨리나와요 앉자마자 나옴 그리거 맛있음 강츄,18
이도곰탕,거부기,5.0,4.2,친절하시고 놋그릇에 나온 곰탕이 너무 맛있네요국수를 추가해 먹으면 좋을것 같아요,21
이도곰탕,소,5.0,4.7,,26
이도곰탕,3점부터나쁘지않은가게,3.0,3.4,맛이나 양대비 가격이 비싸서 사실 왜 그렇게 사람들이 많고 유명한지 모르겠음..,113
이도곰탕,holywaters,4.0,3.1,애성회관 정도는 아니지만 매우 괜찮아요.,17
이도곰탕,yes,5.0,3.4,친절하세요,294
이도곰탕,雲,5.0,4.3,#230729 방문밥이 따로 나오는게 아니라 밥에 얹어져 나오는데 상당히 간편하게 먹을 수 있다.맛도 있고 혼밥하기도 편한 곳. 늘 손님이 많은데 밥이 탕에 함께 나오는만큼 회전율이 높아 금방금방 자리가 생긴다.언제든 방문하기 편한 곳.,47
이도곰탕,루시안칼츠,5.0,4.3,맛있네요  곰탕,27
이도곰탕,미,4.0,3.7,,110
이도곰탕,Jiwon song,4.0,3.9,곰탕 회무침 같이 먹으면 깔끔하고 맛있음,54
이도곰탕,슈페리어,5.0,3.1,짱맛있음 솔직히 외관은 그냥 그래보여서 기대없이 갔는데 메뉴 나올때만해도 밥이 기본적으로 말아져서 나와서 왜 말아주나 좀 그랫는데 한입먹고 단골예약해버림 한번도 안간사람은 있어도 한번만 간사람은 없을듯,10
이도곰탕,lsk,4.0,3.3,,4
이도곰탕,HK,4.0,3.2,,5
이도곰탕,🐙,4.0,3.4,"곰탕 시키면 진짜 바로 나오고 (5분 안에) 언제 먹어도 맛있어요. 여러 명이서 가면 수육 시켜 드시면 명태회무침에 수육 싸서 먹는 게 짱맛있습니다 이모님들도 친절하셔서 앞접시, 국자 다 잘 갖다주십니다 ㅎㅎ",19
이도곰탕,역삼,5.0,4.6,이도곰탕 맛있게 먹는법1. 들어감과 동시에 이모님들께 술 먹으러 왔다고 고백2. 수육 시키며 육수는 따로 주전자에 달라고 요청3. 소주잔은 필요 없고 글라스 잔에 소주를 따라 꼴깍꼴깍 마시기4. 수육 반쯤 먹었을 때 쌀면 곰탕 추가 주문5. 기호에 따라 소주 추가 6. 눈 뜨면 집,11
이도곰탕,SH,4.0,4.0,여기 곰탕 한번 먹어보고 다른곳에서 못 먹겠어요ㅎㅎ..,160
이도곰탕,yt : godzaroad,5.0,4.8,한달에 무조건 한번씩은 가는 곰탕집웨이팅이 있지만. 금방 줄이 사라짐,34
이도곰탕,RS,4.0,2.9,,69
이도곰탕,채창원,5.0,5.0,맛있어요,1
이도곰탕,볶은피스타치오,4.0,4.5,속이 탁 풀리는 곳,51
이도곰탕,JHOON,4.0,4.0,곰탕에 소주 크,63
이도곰탕,먹방리뷰,5.0,4.1,,52
