name,user,review,date,rate,avg_rate,review_cnt,is_model
봉추찜닭압구정로데오,참고,친절하고 자리수 많음. 맛있었고 쿠폰도 좋았습니다.,2024.04.04.,5,4.0,63,모범식당지정
봉추찜닭압구정로데오,정영록,진짜 너무 친절하셔서 좋아요!!,2023.11.17.,5,4.4,145,모범식당지정
봉추찜닭압구정로데오,🍡,매장 내부가 넓고 깨끗하고 음식도 맛있어서 좋아요,2023.08.13.,5,5.0,3,모범식당지정
봉추찜닭압구정로데오,나능네주코,가게도 쾌적하고 사장님도 친절하셔요 맛있게 잘 먹고가요^-^,2023.07.19.,5,4.2,214,모범식당지정
봉추찜닭압구정로데오,1869,친절하고 맛있어요.,2023.02.18.,5,3.0,6,모범식당지정
봉추찜닭압구정로데오,제나,넘 맛있어용 양도 많고!! 직원분들도 넘 친절해요오~~,2023.02.18.,5,4.0,6,모범식당지정
봉추찜닭압구정로데오,izum,"봉추찜닭 체인점 중에 제일 맛있어요
각 지점마다 김치랑 동치미 맛이 상이한데,
여기는 항상 맛있습니다 ㅠㅠ 찐 단골이에요",2021.12.11.,5,3.0,4,모범식당지정
봉추찜닭압구정로데오,hhh,,2021.06.03.,5,4.3,48,모범식당지정
봉추찜닭압구정로데오,블라라,"순살로 시키면 양이 더 적어요.
그리고 알바생들이 너무 피곤해해 보여요.",2019.02.06.,3,3.1,314,모범식당지정
명동칼국수샤브샤브,강강약약,"사장님 은근 츤데레고 맛있어요
 (제가 한가할때 가서 그런가)
샤브샤브 육수 좋고 야채에서 단맛이 있어요",2024.04.20.,5,4.0,462,모범식당지정
명동칼국수샤브샤브,도미닉,같이 먹은 사람 다 설사함,2023.12.28.,1,2.9,34,모범식당지정
명동칼국수샤브샤브,맛없으면슬퍼요,양이적음..,2023.12.24.,2,3.7,423,모범식당지정
명동칼국수샤브샤브,맛있는거만좋아함,,2023.10.29.,1,3.8,319,모범식당지정
명동칼국수샤브샤브,지나가는솥밥,"맛은 3점이나 메뉴에 있던 볶음밥이 갑자기 없다고 하셔서 2점.. 밥이 없다느니 눌러붙어서 귀찮다느니 얼버무리시는 불친절 때문에 1점입니다..
 
다음에 안갈려고 저장해놔요..",2023.10.29.,1,3.7,37,모범식당지정
명동칼국수샤브샤브,i,"한 자리 안되면 안된다고 하시지 사람 계속 기다리게 해놓고 뒤에 온 4, 6명 사람들 먼저 들여보내고 너무 하네요. 새해부터 기분 별로네요. ",2023.01.02.,1,2.2,6,모범식당지정
명동칼국수샤브샤브,ㅇ,손님 많은건 알겠지만 직원들이 커버 못할정도면 복층매장은 없애야하는거 아닐까요 사람들 지나갈때마다 땅울리고 불러도 오지도 않고 안전면에서도 좋지 않아보여요,2022.08.06.,1,4.0,4,모범식당지정
명동칼국수샤브샤브,ㅇㅅㅇ,말투가 진짜 싸가지없음 육수 더달라는데 지맘대로 그정도면 된대ㅋ 내돈내고 기분나쁘고 싶음 추천함,2022.05.03.,1,2.8,23,모범식당지정
명동칼국수샤브샤브,기록용리뷰,"입맛 떨어졌을때 가는 곳.
매운 샤브샤브 시키면 맴찔이인 나한테 적당히 매콤하면서 고기를 땅콩장에 찍어먹으면 감칠맛이 장난 아님.
엄청 위생적이라고 할 수 없고 의자가 좀 불편하고 화장실이 별로라 별 하나는 뺐지만, 맛으로 따지면 별 5개 맞음.",2021.08.05.,4,3.5,31,모범식당지정
명동칼국수샤브샤브,Jerry,샤브샤브 맛있습니다. 국물도 얼큰하고 고기 상태도 괜찮네요. 추가해서 먹는 국수도 쫀득쫀득하고 맛있어서 배부르게 먹을 수 있습니다.,2019.06.09.,4,4.5,481,모범식당지정
통영집,전남재,,2024.03.30.,5,5.0,4,모범식당지정
통영집,화이트,,2024.03.29.,2,3.9,26,모범식당지정
통영집,Ji,,2024.03.15.,5,3.4,10,모범식당지정
통영집,진진,,2024.02.12.,5,5.0,43,모범식당지정
통영집,김선옥,,2024.01.23.,5,5.0,3,모범식당지정
